CI_ID,Data_Year,year,treatment,CI_Start_Year,CI_End_Year,forest_loss_ha,Emissions_MgCO2e,n_pixels
BOL1071,2024,2014,TRUE,1994,2099,-84665.69988574219,2261543.612955096,1000
BOL1071,2024,2015,FALSE,1994,2099,-3433.1563917446133,92390.1655773239,1000
BOL1071,2024,2015,TRUE,1994,2099,-2786.2837541913987,78154.53855023423,1000
BOL1071,2024,2016,FALSE,1994,2099,-2375.000288789749,46874.71515826593,1000
BOL1071,2024,2016,TRUE,1994,2099,-1733.7341800260542,46266.45488948404,1000
BOL1071,2024,2017,FALSE,1994,2099,-5490.402618935108,149377.54175878817,1000
BOL1071,2024,2017,TRUE,1994,2099,-6955.20246963787,185733.60862592518,1000
BOL1071,2024,2018,FALSE,1994,2099,-2431.542473659515,55243.44860906033,1000
BOL1071,2024,2018,TRUE,1994,2099,-943.3133281345367,15667.400520136536,1000
BOL1071,2024,2019,FALSE,1994,2099,-3974.0662984042165,78091.36159082357,1000
BOL1071,2024,2019,TRUE,1994,2099,-2774.7326488695144,72430.31285479471,1000
BOL1071,2024,2020,FALSE,1994,2099,-8010.7456414604185,164245.76751339016,1000
BOL1071,2024,2020,TRUE,1994,2099,-2125.0837861862183,58783.89897375689,1000
BOL1071,2024,2021,FALSE,1994,2099,-3973.457442109108,107685.08457511144,1000
BOL1071,2024,2021,TRUE,1994,2099,-5770.975659044266,151310.75859060726,1000
BOL1071,2024,2022,FALSE,1994,2099,-3017.602332627296,65990.82551973432,1000
BOL1071,2024,2022,TRUE,1994,2099,-2514.2612840108873,65873.78528206398,1000
BOL1071,2024,2023,FALSE,1994,2099,-7264.0418672361375,125879.87120684983,1000
BOL1071,2024,2023,TRUE,1994,2099,-3463.0136269626614,80649.11371619612,1000
BOL1072,2024,2020,FALSE,2020,2099,0,0,25
BOL1072,2024,2020,TRUE,2020,2099,0,0,25
BOL1072,2024,2021,FALSE,2020,2099,-1855.8839809417723,22233.4472,25
BOL1072,2024,2021,TRUE,2020,2099,-346.86263183593746,31922.71782725217,25
BOL1072,2024,2022,FALSE,2020,2099,0,0,25
BOL1072,2024,2022,TRUE,2020,2099,0,0,25
BOL1072,2024,2023,FALSE,2020,2099,0,0,25
BOL1072,2024,2023,TRUE,2020,2099,0,0,25
BOL1073,2024,2021,FALSE,2021,2099,-14440.494455855634,523221.83239191945,4000
BOL1073,2024,2021,TRUE,2021,2099,-9164.386519273854,339473.40293903445,4000
BOL1073,2024,2022,FALSE,2021,2099,-15631.200233125805,498825.7327566071,4000
BOL1073,2024,2022,TRUE,2021,2099,-14283.797814904266,367399.91222157964,4000
BOL1073,2024,2023,FALSE,2021,2099,-129737.2551131898,2033331.2611449615,4000
BOL1073,2024,2023,TRUE,2021,2099,-61075.810736169704,1118030.2860689354,4000
BOL1078,2024,2000,FALSE,1999,2099,0,0,572
BOL1078,2024,2000,TRUE,1999,2099,0,0,572
BOL1078,2024,2001,FALSE,1999,2099,-8599.674251156253,243584.48395828862,572
BOL1078,2024,2001,TRUE,1999,2099,-3333.7394341955655,77782.97517612502,572
BOL1078,2024,2002,FALSE,1999,2099,-4563.873434506931,100364.35914622441,572
BOL1078,2024,2002,TRUE,1999,2099,-5094.102906233781,140412.3471639569,572
BOL1078,2024,2003,FALSE,1999,2099,-2652.9601799491406,48634.925833886584,572
BOL1078,2024,2003,TRUE,1999,2099,-1900.7031676819277,54690.530101062854,572
BOL1078,2024,2004,FALSE,1999,2099,-2649.8955881612287,74607.06153669258,572
BOL1078,2024,2004,TRUE,1999,2099,-2840.0106813657535,64025.69814477293,572
BOL1078,2024,2005,FALSE,1999,2099,-9775.519638061525,260846.88580998927,572
BOL1078,2024,2005,TRUE,1999,2099,-4261.3894614906585,92598.5332868306,572
BOL1078,2024,2006,FALSE,1999,2099,-13209.406071509517,259297.17432974957,572
BOL1078,2024,2006,TRUE,1999,2099,-9891.054170835268,267619.8999908643,572
BOL1078,2024,2007,FALSE,1999,2099,-16247.1396550532,502201.2830814628,572
BOL1078,2024,2007,TRUE,1999,2099,-11303.44315893,291378.33421685733,572
BOL1078,2024,2008,FALSE,1999,2099,-5757.401926734231,122631.89980093452,572
BOL1078,2024,2008,TRUE,1999,2099,-4996.8770538543495,144804.9469208899,572
BOL1078,2024,2009,FALSE,1999,2099,-10221.228230843179,215973.4843423625,572
BOL1078,2024,2009,TRUE,1999,2099,-3928.1673088207117,96353.66131475013,572
BOL1078,2024,2010,FALSE,1999,2099,-6865.5604231374255,144821.5114012772,572
BOL1078,2024,2010,TRUE,1999,2099,-12636.630916968927,271549.5783066873,572
BOL1078,2024,2011,FALSE,1999,2099,-10416.981892258971,294305.32320771023,572
