ci_id,biome,ci_divisio,ci_divis_1,country,new_or_con,new_or_c_1,ci_sls_1,ci_sls_2,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
IDN1041,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Wetlands,166.95272827148435,55.16176223754883,55.16176223754883,6.751359217939065e-4,0
IDN1042,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,1540.8033447265625,1346.1553955078125,1481.517333984375,0.01559236166921053,0
IDN1042,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,858.7869873046875,428.9848937988281,485.5595397949219,0.00869060762925767,0
IDN1042,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Grassland,6.037329196929932,4.814910411834717,4.814910411834717,6.109554517570292e-5,0
IDN1043,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,6967.75048828125,3563.367431640625,3640.219970703125,0.852719546833486,0
IDN1043,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,5610.70849609375,2360.335205078125,2387.14404296875,0.6866435321199369,0
IDN1043,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Grassland,1730.4521484375,660.03802490234375,660.03802490234375,0.21177428415589616,0
IDN1043,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Wetlands,262.8471984863281,82.42698669433594,82.42698669433594,0.03216747562311189,0
IDN1044,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,8245.75,4737.82568359375,5006.2568359375,0.3018488528224419,0
IDN1044,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,3385.6748046875,1826.5084228515625,2078.231689453125,0.123938035451568,0
IDN1044,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Grassland,513.970947265625,264.32330322265625,264.32330322265625,0.01881472768592216,0
IDN1044,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Wetlands,71.44230651855469,20.571924209594727,20.571924209594727,0.00261525977207834,0
IDN1045,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,13271.76953125,7150.705078125,7150.705078125,0.8186911528527614,0
IDN1045,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,629.4752197265625,340.43402099609375,340.43402099609375,0.03883022471997725,0
IDN1046,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,31.803667068481445,47.24265670776367,47.38857650756836,0.00101022872271565,0
IDN1046,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,2.8786003589630127,6.63547420501709,6.63547420501709,9.143740429624916e-5,0
IDN1047,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,1130.3739013671875,1024.8282470703125,1196.2484130859375,0.00613076834536584,0
IDN1047,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,655.94146728515625,569.63519287109375,636.06951904296875,0.00355760618604228,0
IDN1047,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Grassland,31.8164005279541,22.622360229492188,22.622360229492188,1.7256146924866036e-4,0
IDN1047,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Wetlands,60.8484992980957,47.72673416137695,47.72673416137695,3.300218210174344e-4,0
IDN1047,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Mangroves,2.943751811981201,1.8543071746826172,1.8543071746826172,1.596592101399306e-5,2.943751811981201
IDN1048,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,9683.0439453125,2274.233642578125,2274.233642578125,4.257705407218456,0
IDN1049,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Primary forest,29540.08203125,9288.4482421875,9483.8193359375,2.421973323214476,0
IDN1049,Marine,Asia-Pacific Field Division,NA,Indonesia,NA,Continued this year,Birds Head Seascape,Birds Head Seascape,Secondary forest,682.62762451171875,272.81781005859375,326.88604736328125,0.05596822292191484,0
