n_overlaps,origins,ci_id_1,ci_id_2,ci_id_3,ci_id_4,ci_id_5,area_ha,rest_area,population,tstor_woody,tstor_soil,tstor_total,carbon_seq_potl
2,,TLS1001,TLS1006,NA,NA,NA,4.923396313044774,4.923396313044774,0.9960994720458984,602.384033203125,555.1439208984375,1157.5279541015625,8.370714366364203
2,,CRI1006,CRI1007,NA,NA,NA,0.5704121953216541,0,0.09148711711168289,19.23896026611328,60.79349899291992,80.0324592590332,Inf
2,,CRI1003,CRI1010,NA,NA,NA,11.657378312622328,0,75.78263854980469,865.95458984375,1288.166015625,2154.12060546875,13.484441322015622
3,,CRI1003,CRI1006,CRI1010,NA,NA,1.8167583994970726,0,9.067903518676758,225.85488891601562,200.68959045410156,426.5444793701172,2.10151014099906
3,,CRI1001,CRI1006,CRI1010,NA,NA,137.4020771932476,0,47.547767639160156,10781.169921875,14310.9599609375,25092.1298828125,158.94079898795061
2,,CRI1002,CRI1010,NA,NA,NA,16.130619232710103,0,20.57653045654297,798.79583740234375,1917.755859375,2716.5516967773437,18.659413993800854
3,,CRI1002,CRI1006,CRI1010,NA,NA,37.24533718425599,0,61.365203857421875,4109.302734375,4354.77734375,8464.080078125,43.08420557454871
3,,CRI1004,CRI1006,CRI1010,NA,NA,20.023162386997424,0,6.121395587921143,2612.387451171875,2008.563232421875,4620.95068359375,23.164377648293524
2,,CRI1004,CRI1010,NA,NA,NA,45.45911430110101,0,13.001893043518066,5007.86962890625,4536.8193359375,9544.68896484375,52.59073846935165
2,,IDN1013,IDN1033,NA,NA,NA,1912.9873926631003,0,14.789443016052246,527632.4375,342372.84375,870005.28125,Inf
2,,IDN1013,IDN1035,NA,NA,NA,207.57413166271223,0,4.704116344451904,37516.40234375,33771.31640625,71287.71875,Inf
2,,IDN1015,IDN1036,NA,NA,NA,34.2594869120008,0,0.9415691494941711,7070.4013671875,5527.55810546875,12597.95947265625,Inf
2,,IDN1014,IDN1036,NA,NA,NA,42.21373035086131,0,0.47306251525878906,8525.0732421875,6048.001953125,14573.0751953125,Inf
2,,IDN1011,IDN1037,NA,NA,NA,730.3682785755014,0,42.76243591308594,129878.8515625,134196.71875,264075.5703125,Inf
2,,IDN1012,IDN1038,NA,NA,NA,4400.533920864655,0,20.746679306030273,70135.5859375,394384.34375,464519.9296875,Inf
2,,IDN1011,IDN1040,NA,NA,NA,404.3662639599322,0,10.325798034667969,75451.7890625,63947.50390625,139399.29296875,Inf
2,,IDN1030,IDN1041,NA,NA,NA,129.22755190112352,0,11.030475616455078,23619.626953125,23889.36328125,47508.990234375,Inf
2,,IDN1028,IDN1041,NA,NA,NA,1.6546377190845554,0,0.0826658383011818,686.25469970703125,313.8004455566406,1000.0551452636719,Inf
2,,IDN1030,IDN1042,NA,NA,NA,44.26890346817256,0,0.4749315679073334,11519.16796875,9980.1357421875,21499.3037109375,Inf
2,,IDN1028,IDN1042,NA,NA,NA,576.8050090860675,0,46.72355651855469,193340.40625,126178.9765625,319519.3828125,Inf
2,,IDN1029,IDN1042,NA,NA,NA,209.81684370816097,0,6.623208522796631,66201.6328125,42662.61328125,108864.24609375,Inf
2,,IDN1022,IDN1045,NA,NA,NA,910.8026483431116,0,11.75521183013916,461556.28125,135496.84375,597053.125,Inf
2,,IDN1041,IDN1046,NA,NA,NA,0.5019150478745269,0,0.00081917038187384605,9.048612594604492,31.86282730102539,40.91143989562988,Inf
2,,IDN1022,IDN1047,NA,NA,NA,40.59291157421286,0,0.5111097693443298,7080.73828125,8123.53955078125,15204.27783203125,Inf
2,,TLS1004,TLS1050,NA,NA,NA,306.6281274665273,306.6281274665273,530.8345947265625,48897.390625,33839.1484375,82736.5390625,446.0159823169747
2,,TLS1003,TLS1050,NA,NA,NA,958.9696809791328,958.9696809791328,393.57806396484375,163807.8125,88902.09375,252709.90625,1394.8688268854976
