n_overlaps,ci_id_1,ci_id_2,ci_id_3,ci_id_4,ci_id_5,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
5,COL1159,COL1163,COL1164,COL1165,COL1192,Secondary forest,0.11891787499189377,0,0.5010230541229248,0.2373501891121914,0
2,COL1160,COL1193,NA,NA,NA,Secondary forest,0.058209456503391266,0,0.5010234713554382,0.11618119653642228,0
2,COL1161,COL1194,NA,NA,NA,Secondary forest,0.07978961616754532,0,0.5010227560997009,0.15925338478778206,0
2,COL1200,COL1202,NA,NA,NA,Secondary forest,0.276065468788147,0,0,0.13753160216745944,0
2,COL1201,COL1203,NA,NA,NA,Secondary forest,0.021377261728048325,0,0,0.010649823543541138,0
2,COL1260,COL1289,NA,NA,NA,Secondary forest,0.0616891011595726,0.17381134629249573,0.17381134629249573,0.2260865905543509,0
2,COL1012,COL1315,NA,NA,NA,Secondary forest,0.03914234787225723,0,0.5376601815223694,0.045487380634424944,0
2,COL1326,COL1328,NA,NA,NA,Secondary forest,0.7552673816680908,0,4.507800579071045,0.1675466568424964,0
2,COL1327,COL1331,NA,NA,NA,Secondary forest,0.011540110222995281,0,0,0.004400530018343854,0
2,KEN1005,KEN1006,NA,NA,NA,Grassland,465.39447021484375,758.86181640625,2497.04150390625,0.12510081123099356,0
2,KEN1005,KEN1006,NA,NA,NA,Wetlands,47.83660888671875,45.07775115966797,280.17913818359375,0.012858765974390812,0
2,KEN1002,KEN1006,NA,NA,NA,Grassland,91.064605712890625,0,1740.15283203125,0.03508898321776538,0
2,KEN1002,KEN1006,NA,NA,NA,Wetlands,166.11685180664062,239.35655212402344,855.103515625,0.06400808941740278,0
2,KEN1003,KEN1006,NA,NA,NA,Secondary forest,1.6004796028137207,0,0,8.760556999290037e-4,0
2,KEN1003,KEN1006,NA,NA,NA,Grassland,120.73934173583984,214.1448516845703,1644.724853515625,0.06608918248467636,0
2,KEN1004,KEN1006,NA,NA,NA,Grassland,711.4691162109375,413.0067443847656,3354.27734375,0.21191604569028508,0
