ci_id,biome,ci_divisio,ci_divis_1,country,new_or_con,new_or_c_1,ci_sls_1,ci_sls_2,ecosystem,tstor_ic,ha_high_ic,ha_ic,tonnes_ha_ic,tstor_blue_ic
MDG1007,Terrestrial,Africa Field Division,Africa Field Division,Madagascar,Continued this year,Continued this year,CAZ + COFAV Corridors,Ambositra-Vondrozo (COFAV) Corridor,Grassland,3.8431822758866474e-5,0,0,3.4938020689878613e-4,0
MDG1008,Terrestrial,Africa Field Division,Africa Field Division,Madagascar,Continued this year,Continued this year,CAZ + COFAV Corridors,Ambositra-Vondrozo (COFAV) Corridor,Primary forest,0.03605973720550537,0.10059119015932083,0.10059119015932083,0.3605973720550537,0
MDG1010,Terrestrial,Africa Field Division,Africa Field Division,Madagascar,Continued this year,Continued this year,CAZ + COFAV Corridors,Ambositra-Vondrozo (COFAV) Corridor,Primary forest,0.4515138566493988,0,1.5425313711166382,0.29319081600610314,0
NCL1001,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,New Caledonia,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,0.006052500568330288,0,0,2.177941910158434e-4,0
NCL1002,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,New Caledonia,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,0.058787088841199875,0,0,0.01588840238951348,0
NCL1004,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,New Caledonia,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,0.0030687416438013315,0,0,7.884742147485435e-5,0
NCL1004,Terrestrial,Asia-Pacific Field Division,Asia-Pacific Field Division,New Caledonia,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,1.0265248420182616e-4,0,0,2.6375252878167046e-6,0
PER1001,Terrestrial,Americas Field Division,Conservation Finance Division,Peru,Continued this year,Continued this year,Alto Mayo Landscape,Alto Mayo Landscape,Primary forest,15.139505386352539,23.43763542175293,40.642459869384766,0.08256711052766437,0
PER1001,Terrestrial,Americas Field Division,Conservation Finance Division,Peru,Continued this year,Continued this year,Alto Mayo Landscape,Alto Mayo Landscape,Secondary forest,24.638051986694336,44.4922981262207,85.1009750366211,0.13436982977036613,0
PER1002,Terrestrial,Americas Field Division,Center for Communities and Conservation,Peru,Continued this year,Continued this year,Alto Mayo Landscape,Alto Mayo Landscape,Primary forest,0.227340966463089,0.8371952176094055,0.8371952176094055,0.0028192084134807662,0
PER1002,Terrestrial,Americas Field Division,Center for Communities and Conservation,Peru,Continued this year,Continued this year,Alto Mayo Landscape,Alto Mayo Landscape,Secondary forest,3.80556583404541,5.975479602813721,12.290604591369629,0.04719203663250757,0
PER1003,Terrestrial,Americas Field Division,Center for Communities and Conservation,Peru,Continued this year,Continued this year,Alto Mayo Landscape,Alto Mayo Landscape,Primary forest,2.3522512912750244,0.3562077581882477,9.66549301147461,0.009420686816752871,0
PER1003,Terrestrial,Americas Field Division,Center for Communities and Conservation,Peru,Continued this year,Continued this year,Alto Mayo Landscape,Alto Mayo Landscape,Secondary forest,15.964400291442871,26.21590232849121,67.557647705078125,0.06393688290056819,0
PER1003,Terrestrial,Americas Field Division,Center for Communities and Conservation,Peru,Continued this year,Continued this year,Alto Mayo Landscape,Alto Mayo Landscape,Grassland,0.5887815952301025,0,0.1389598548412323,0.0023580503633709904,0
CRI1001,Terrestrial + Marine,Americas Field Division,NA,Costa Rica,Continued this year,Continued this year,Eastern Tropical Pacific Seascape,ETPS ? Costa Rica,Secondary forest,113.73619079589844,70.09647369384766,70.09647369384766,0.5804347578254577,0
CRI1001,Terrestrial + Marine,Americas Field Division,NA,Costa Rica,Continued this year,Continued this year,Eastern Tropical Pacific Seascape,ETPS ? Costa Rica,Grassland,53.427730560302734,31.4663143157959,31.4663143157959,0.27266001816944496,0
CRI1002,Terrestrial + Marine,Americas Field Division,NA,Costa Rica,Continued this year,Continued this year,Eastern Tropical Pacific Seascape,ETPS ? Costa Rica,Primary forest,30.341318130493164,18.368310928344727,18.368310928344727,0.5684023628792275,0
CRI1002,Terrestrial + Marine,Americas Field Division,NA,Costa Rica,Continued this year,Continued this year,Eastern Tropical Pacific Seascape,ETPS ? Costa Rica,Secondary forest,16.28086280822754,8.385910987854004,8.385910987854004,0.30499930326391045,0
CRI1004,Terrestrial + Marine,Americas Field Division,NA,Costa Rica,Continued this year,Continued this year,Eastern Tropical Pacific Seascape,ETPS ? Costa Rica,Secondary forest,28.53175163269043,39.98903274536133,39.98903274536133,0.4357323096012588,0
CHN1001,Terrestrial,Asia-Pacific Field Division,NA,China,Continued this year,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Mangroves,0.16522914171218872,0.1356588900089264,0.1356588900089264,1.1802081550870622,0.16522914171218872
BOL1001,Terrestrial,Americas Field Division,NA,Bolivia,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,173830.328125,291460.21875,630159.9375,0.11317287095411413,0
BOL1001,Terrestrial,Americas Field Division,NA,Bolivia,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,39552.19140625,63986.5078125,128692.8125,0.025750598887169608,0
BOL1001,Terrestrial,Americas Field Division,NA,Bolivia,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,37960.8671875,39023.45703125,80523.796875,0.024714561433882138,0
BOL1001,Terrestrial,Americas Field Division,NA,Bolivia,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Wetlands,92668.7109375,122246.640625,147989.953125,0.060332303215076794,0
BOL1001,Terrestrial,Americas Field Division,NA,Bolivia,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Mangroves,7333.30859375,8348.5126953125,9510.802734375,0.004774377383389438,7333.30859375
BOL1001,Terrestrial,Americas Field Division,NA,Bolivia,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Salt marsh,2749.937744140625,2905.882568359375,3196.48583984375,0.001790357026914659,2749.937744140625
BOL1001,Terrestrial,Americas Field Division,NA,Bolivia,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Seagrass,1210.4490966796875,872.2342529296875,1066.13330078125,7.880673119166286e-4,1210.4490966796875
BOL1001,Terrestrial,Americas Field Division,NA,Bolivia,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Peatland,704.2222900390625,484.66546630859375,484.66546630859375,4.5848649780083677e-4,0
BRA1001,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,332608.4375,409141.1875,507269,0.5504747326922126,0
BRA1001,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,20579.59765625,25687.759765625,37935.078125,0.03405971479222473,0
BRA1001,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,6258.2783203125,7970.18408203125,11744.9140625,0.010357596792737685,0
BRA1001,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Wetlands,1966.3870849609375,2502.885986328125,4161.49560546875,0.00325441655388941,0
BRA1001,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Mangroves,467.9058837890625,536.1168212890625,1051.466796875,7.743951664001238e-4,467.9058837890625
BRA1001,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Salt marsh,42.346656799316406,0,31.713054656982422,7.008470608029169e-5,42.346656799316406
BRA1002,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,1.4349168539047241,0,8.533883094787598,0.001750966264679346,0
BRA1002,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,183.507080078125,328.06561279296875,622.3671875,0.22392566208435022,0
BRA1003,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,77713.6875,121494.2578125,175496.328125,0.35923069527093915,0
BRA1003,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,4037.070068359375,6255.83154296875,10563.998046875,0.018661313523621385,0
BRA1003,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,34.22026062011719,0,78.14896392822266,1.581827913508471e-4,0
BRA1004,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,30557.75,45540.92578125,68043.4296875,0.3136365479170013,0
BRA1004,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,4592.146484375,5213.11669921875,12799.982421875,0.04713255952707804,0
BRA1004,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,93.52006530761719,138.42738342285156,138.42738342285156,9.598648606017645e-4,0
BRA1005,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,198172.5625,159512.65625,176281.671875,0.8852731025729544,0
BRA1005,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,22395.884765625,17663.033203125,19700.048828125,0.10004651572959909,0
BRA1005,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,5979.40869140625,4968.3017578125,5947.82373046875,0.026711112865550703,0
BRA1005,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Wetlands,1955.75830078125,1839.216796875,2026.6031494140625,0.008736730236383891,0
BRA1005,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Mangroves,263.8990478515625,138.79861450195313,237.74154663085937,0.0011788853406868639,263.8990478515625
BRA1005,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Salt marsh,64.43193054199219,0,98.94429016113281,2.8782922487402627e-4,64.43193054199219
BRA1005,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Seagrass,186.37086486816406,197.9046630859375,197.9046630859375,8.325527595226228e-4,186.37086486816406
BRA1006,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,34513.6015625,60410.35546875,152745.28125,0.1756406119864066,0
BRA1006,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,422.0509033203125,688.85711669921875,1375.994384765625,0.00214782797484511,0
BRA1006,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,34.58261489868164,0,98.83148193359375,1.759918226411456e-4,0
BRA1007,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,14740.7919921875,27526.787109375,63384.08203125,0.1962156114302032,0
BRA1007,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,545.0460205078125,952.16094970703125,2105.490234375,0.007255141937300268,0
BRA1008,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,23645.333984375,18215.31640625,19906.486328125,0.9216955366076939,0
BRA1008,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,2376.57763671875,2268.44189453125,3028.454345703125,0.09263903828183684,0
BRA1008,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,139.7899627685547,95.544769287109375,194.01719665527344,0.005449015219301762,0
BRA1008,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Wetlands,15.164738655090332,11.75011157989502,11.75011157989502,5.911217807900366e-4,0
BRA1009,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,232755.125,409188.40625,653764.1875,0.3358293113939492,0
BRA1009,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,552.04351806640625,827.18560791015625,1383.3662109375,7.965126204277323e-4,0
BRA1010,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,1770.529052734375,3403.046630859375,4259.64599609375,0.2111694399998062,0
BRA1010,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,1440.4609375,2211.326171875,3491.698486328125,0.17180250673870523,0
BRA1010,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,60.02800750732422,98.05419158935547,109.37813568115234,0.007159487561104459,0
BRA1011,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,256709.46875,224299.515625,259940.71875,0.8945891194305953,0
BRA1011,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,10010.0498046875,9561.8134765625,12395.8564453125,0.034883332055634556,0
BRA1011,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,3325.176025390625,2925.739501953125,4085.617919921875,0.011587676555097565,0
BRA1011,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Wetlands,1386.7523193359375,1423.5191650390625,1809.7349853515625,0.004832597497333537,0
BRA1011,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Mangroves,346.6347351074219,250.68405151367187,442.8257141113281,0.0012079634769755884,346.6347351074219
BRA1012,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,753609.25,1255769,1766525.125,0.36935798934290787,0
BRA1012,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,65934.625,99010.296875,144377.9375,0.032315792989641025,0
BRA1012,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,3202.574462890625,4763.1875,5716.41015625,0.0015696416469599126,0
BRA1012,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Wetlands,113.24171447753906,43.4886360168457,149.18511962890625,5.550188240015298e-5,0
BRA1013,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,149643.640625,105806.7734375,122217.5234375,1.0183486156199064,0
BRA1013,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,9615.4169921875,10324.7353515625,12462.267578125,0.06543443170525487,0
BRA1013,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,2553.50634765625,2289.893798828125,3150.449951171875,0.01737701410665867,0
BRA1013,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Wetlands,335.5851135253906,336.9844055175781,535.5274658203125,0.002283709714318043,0
BRA1013,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Mangroves,52.0355224609375,99.2734146118164,99.2734146118164,3.5410995108001603e-4,52.0355224609375
BRA1013,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Salt marsh,91.10187530517578,99.27024841308594,198.54049682617187,6.199626540087266e-4,91.10187530517578
BRA1013,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Seagrass,82.395721435546875,99.27024841308594,99.27024841308594,5.60715901500693e-4,82.395721435546875
BRA1014,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,71221.4453125,116494.578125,130826.3671875,0.5065331299691264,0
BRA1014,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,3391.458984375,5410.9150390625,7546.48095703125,0.024120352050983708,0
BRA1014,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,195.16810607910156,350.30670166015625,391.5056457519531,0.00138805259018021,0
BRA1015,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,106537.96875,173418.015625,200562.109375,0.5003081257571508,0
BRA1015,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,3684.49560546875,5355.14697265625,8241.115234375,0.01730259279729818,0
BRA1015,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,143.11936950683594,172.53465270996094,300.4937438964844,6.720963836426646e-4,0
BRA1016,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,66730.6171875,102130.7734375,116032.2421875,0.545510349007312,0
BRA1016,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,1038.2830810546875,1117.8533935546875,2157.47412109375,0.00848777052852775,0
BRA1016,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,32.088138580322266,61.50067901611328,61.50067901611328,2.623145478598319e-4,0
BRA1017,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,294824.46875,485916.34375,648864.0625,0.4318696526783225,0
BRA1017,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,6435.259765625,10273.560546875,13243.078125,0.00942660360470929,0
BRA1017,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,267.6799011230469,296.8335266113281,395.7696533203125,3.921072983430177e-4,0
BRA1018,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,396531.9375,530990.875,1597332,0.15016575430298734,0
BRA1018,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,88308.453125,115807.6484375,283637.0625,0.033442212898287985,0
BRA1018,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,33197.234375,39604.765625,75343.296875,0.012571718112100201,0
BRA1018,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Wetlands,16057.9931640625,19321.177734375,28094.310546875,0.006081125952367102,0
BRA1018,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Mangroves,6456.60595703125,6506.65234375,8254.912109375,0.00244510217736184,6456.60595703125
BRA1018,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Salt marsh,1635.6214599609375,1553.694091796875,2039.3660888671875,6.194061740340589e-4,1635.6214599609375
BRA1018,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Seagrass,521.18280029296875,485.3407897949219,485.3407897949219,1.9737075613420637e-4,521.18280029296875
BRA1018,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Peatland,78.17848205566406,97.007781982421875,97.007781982421875,2.9606015601584055e-5,0
BRA1019,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,99775.0234375,159214.25,179734.5625,0.534010469533044,0
BRA1019,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,3294.998046875,4522.65087890625,5806.24755859375,0.017635309855120088,0
BRA1020,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,43763.8671875,70931.203125,82968.3203125,0.5073646254058936,0
BRA1020,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,810.06646728515625,1151.081787109375,2079.77734375,0.009391287748112898,0
BRA1021,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,2.7681963443756104,0,0,1.296331354184123e-4,0
BRA1021,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,11.981366157531738,0,27.478408813476563,5.610808874712345e-4,0
BRA1021,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,996.5948486328125,1294.1951904296875,6882.37646484375,0.04666999695762179,0
BRA1021,Terrestrial,Americas Field Division,Americas Field Division,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Wetlands,2.875821113586426,0,0,1.346731450657872e-4,0
BRA1022,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Primary forest,40722.53125,59971.671875,83157.09375,0.40178220821246247,0
BRA1022,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Secondary forest,5054.60205078125,7609.00048828125,11542.0380859375,0.049870406167301595,0
BRA1022,Terrestrial,Americas Field Division,CI-GEF Project Agency,Brazil,NA,Continued this year,Site is outside of a current CI SLS,Site is outside of a current CI SLS,Grassland,312.6835021972656,176.68463134765625,444.72174072265625,0.003085040741037524,0
